Horas_Estudio,Asistencia,Involucramiento_Padres,Acceso_a_Recursos,Actividades_Extracurriculares,Horas_Sueño,Puntajes_Anteriores,Nivel_Motivacion,Acceso_a_Internet,Sesiones_Tutorias,Ingreso_Familiar,Calidad_Maestro,Tipo_Escuela,Influencias_Compañeros,Actividad_Fisica,Discapacidad_de_Aprendizaje,Nivel_Educacion_Padres,Distancia_Hogar,Genero,Puntaje_Examen
23.0,84.0,Baja,Desconocido,Desconocido,7.0,73.0,Baja,Desconocido,0.0,Baja,Media,Publica,Positivo,3.0,No,Preparatoria,Cerca,Masculino,0.0
19.0,64.0,Baja,Media,No,8.0,59.0,Baja,Si,2.0,Media,Media,Publica,Negativa,4.0,No,Universidad,Moderado,Femenino,61.0
24.0,0,Media,Media,Si,7.0,91.0,Media,Si,2.0,Media,Media,Publica,Neutral,4.0,No,Posgrado,Cerca,Masculino,74.0
29.0,89.0,Baja,Media,Si,8.0,98.0,Media,Si,1.0,Media,Media,Publica,Negativa,4.0,No,Preparatoria,Moderado,Masculino,71.0
19.0,92.0,Media,Media,Si,6.0,65.0,Media,Si,0,Media,Alta,Publica,Neutral,4.0,No,Universidad,Cerca,Femenino,70.0
19.0,0,Media,Media,Si,8.0,89.0,Media,Si,3.0,Media,Media,Publica,Positivo,3.0,No,Posgrado,Cerca,Masculino,71.0
29.0,84.0,Media,Baja,Si,7.0,68.0,Baja,Si,1.0,Baja,Media,Privada,Neutral,2.0,No,Preparatoria,Moderado,Masculino,67.0
25.0,78.0,Baja,Alta,Si,6.0,50.0,Media,Si,1.0,Alta,Alta,Desconocido,Negativa,2.0,No,Preparatoria,Lejos,Masculino,66.0
17.0,94.0,Media,Alta,No,6.0,80.0,Alta,Si,0.0,Media,Baja,Privada,Neutral,1.0,No,Universidad,Cerca,Masculino,69.0
23.0,98.0,Media,Media,Si,0.0,71.0,Media,Si,0.0,Desconocido,Alta,Publica,Positivo,5.0,No,Preparatoria,Moderado,Masculino,0.0
0,80.0,Baja,Alta,No,8.0,88.0,Media,No,4.0,Media,Alta,Privada,Neutral,4.0,No,Desconocido,Moderado,Masculino,68.0
17.0,97.0,Media,Alta,Si,0.0,87.0,Baja,Si,2.0,Baja,Alta,Privada,Neutral,2.0,No,Preparatoria,Cerca,Masculino,71.0
21.0,83.0,Media,Media,Si,8.0,97.0,Baja,Si,2.0,Media,Media,Publica,Positivo,4.0,No,Preparatoria,Cerca,Masculino,70.0
